Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Company_Name,Sector,Market_Cap,Date,Daily_Return,Cumulative_Return,Price_Range,Price_Change
201.66113009938155,202.98962419564972,199.77327327657756,200.85205078125,73188600,0.0,0.0,AAPL,Apple Inc.,Technology,3791126003712,2025-06-27 00:00:00-04:00,,0.0,3.2163509190721697,
201.78098710410558,207.15489297707504,199.0341046248948,204.93740844726562,91912800,0.0,0.0,AAPL,Apple Inc.,Technology,3791126003712,2025-06-30 00:00:00-04:00,0.020340134193924886,2.0340134193924886,8.120788352180227,4.085357666015625
206.4357061767528,209.95171998702364,205.90630823197938,207.58441162109375,78788900,0.0,0.0,AAPL,Apple Inc.,Technology,3791126003712,2025-07-01 00:00:00-04:00,0.012916154224275056,3.351900472839109,4.045411755044256,2.647003173828125
208.6731759252599,213.09814660534315,207.9040445567577,212.1991729736328,67941800,0.0,0.0,AAPL,Apple Inc.,Technology,3791126003712,2025-07-02 00:00:00-04:00,0.022230770203315764,5.649492822326763,5.194102048585449,4.6147613525390625
211.90950026104147,214.40666625629999,211.56988934364432,213.30792236328125,34955800,0.0,0.0,AAPL,Apple Inc.,Technology,3791126003712,2025-07-03 00:00:00-04:00,0.005225041050401336,6.201515759277498,2.8367769126556652,1.1087493896484375
212.43889126622693,215.9848699115094,208.56330013289198,209.7119903564453,50229000,0.0,0.0,AAPL,Apple Inc.,Technology,3791126003712,2025-07-07 00:00:00-04:00,-0.016857939297312052,4.411177053325077,7.421569778617425,-3.5959320068359375
209.86183643928914,211.1903153368944,208.213697736729,209.7719268798828,42848900,0.0,0.0,AAPL,Apple Inc.,Technology,3791126003712,2025-07-08 00:00:00-04:00,0.0002858039892503772,4.441018184249224,2.9766176001654117,0.0599365234375
209.2924745188519,211.09043707809712,206.98509558510867,210.90065002441406,48749400,0.0,0.0,AAPL,Apple Inc.,Technology,3791126003712,2025-07-09 00:00:00-04:00,0.005380715910463962,5.002985632498258,4.105341492988458,1.12872314453125
210.27134950514616,213.23798377907798,209.7918979255535,212.16920471191406,44443600,0.0,0.0,AAPL,Apple Inc.,Technology,3791126003712,2025-07-10 00:00:00-04:00,0.006014939675876629,5.634572256864678,3.4460858535244654,1.2685546875
210.33129628612954,211.88952536572023,209.6220944658076,210.92062377929688,39765800,0.0,0.0,AAPL,Apple Inc.,Technology,3791126003712,2025-07-11 00:00:00-04:00,-0.005884835805047839,5.012930143796579,2.2674308999126254,-1.2485809326171875
